"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2012","473007",""
"Afghanistan","2007","-677497",""
"Afghanistan","2002","804120",""
"Afghanistan","1997","-379474",""
"Afghanistan","1992","2227474",""
"Afghanistan","1987","-1484185",""
"Afghanistan","1982","-3418299",""
"Afghanistan","1977","-1117459",""
"Afghanistan","1972","-20000",""
"Afghanistan","1967","-20000",""
"Afghanistan","1962","-20000",""
"Albania","2012","-91750",""
"Albania","2007","-252926",""
"Albania","2002","-175406",""
"Albania","1997","-179606",""
"Albania","1992","-443212",""
"Albania","1987","-99",""
"Albania","1982","-99",""
"Albania","1977","-99",""
"Albania","1972","-99",""
"Albania","1967","-99",""
"Albania","1962","-99",""
"Algeria","2012","-143268",""
"Algeria","2007","-357340",""
"Algeria","2002","-205228",""
"Algeria","1997","-164413",""
"Algeria","1992","-128679",""
"Algeria","1987","-93302",""
"Algeria","1982","-81020",""
"Algeria","1977","-224833",""
"Algeria","1972","-247822",""
"Algeria","1967","-121335",""
"Algeria","1962","-284266",""
"Angola","2012","102322",""
"Angola","2007","85286",""
"Angola","2002","172594",""
"Angola","1997","-126701",""
"Angola","1992","142811",""
"Angola","1987","-150282",""
"Angola","1982","234149",""
"Angola","1977","11455",""
"Angola","1972","-80955",""
"Angola","1967","-201155",""
"Angola","1962","-135000",""
"Antigua and Barbuda","2012","-56",""
"Antigua and Barbuda","2007","-92",""
"Antigua and Barbuda","2002","-282",""
"Antigua and Barbuda","1997","4421",""
"Antigua and Barbuda","1992","2617",""
"Antigua and Barbuda","1987","-7629",""
"Antigua and Barbuda","1982","-8840",""
"Antigua and Barbuda","1977","-3492",""
"Antigua and Barbuda","1972","-2874",""
"Antigua and Barbuda","1967","-1625",""
"Antigua and Barbuda","1962","-1703",""
"Arab World","2012","-1168750",""
"Arab World","2007","4413525",""
"Arab World","2002","396646",""
"Arab World","1997","-1432980",""
"Arab World","1992","293332",""
"Arab World","1987","-1021606",""
"Arab World","1982","103693",""
"Arab World","1977","1697107",""
"Arab World","1972","-876979",""
"Arab World","1967","-849826",""
"Arab World","1962","-485569",""
"Argentina","2012","30000",""
"Argentina","2007","-84998",""
"Argentina","2002","-90000",""
"Argentina","1997","-80000",""
"Argentina","1992","29999",""
"Argentina","1987","160002",""
"Argentina","1982","139999",""
"Argentina","1977","-230001",""
"Argentina","1972","290000",""
"Argentina","1967","130001",""
"Argentina","1962","122001",""
"Armenia","2012","-9876",""
"Armenia","2007","-136009",""
"Armenia","2002","-143966",""
"Armenia","1997","-223873",""
"Armenia","1992","-496288",""
"Armenia","1987","-58313",""
"Armenia","1982","-22331",""
"Armenia","1977","35724",""
"Armenia","1972","86404",""
